cnpj;denominacao;gestor;ticker;classificacao_sugerida;sinais_mistos;classificacao_final;observacoes
41054515000151;IT NOW MORNINGSTAR XT US HEALTHCARE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;HTEK11;REVISAR;;;
38354844000103;IT NOW NYSE FANG+T FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;TECK11;REVISAR;;;
41054432000162;IT NOW RUSSELL® 1000 GREEN REVENUES 50 FUNDO DE ÍNDICE INVESTIMENTO SUSTENTÁVEL RESP LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;REVE11;REVISAR;;;
55019744000140;ORYX BLOOMBERG U.S. CONVERTIBLES LIQUID BOND INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ORYX CAPITAL GESTÃO DE RECURSOS LTDA.;;REVISAR;;;
63063704000123;RIO BRAVO INVESTO MARKETVECTOR BRAZIL MULTIFACTOR QUALITY FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;QLBR11;REVISAR;;;
63063704000123;RIO BRAVO INVESTO MARKETVECTOR BRAZIL MULTIFACTOR QUALITY FUNDO DE ÍNDICE;RIO BRAVO INVESTIMENTOS LTDA;QLBR11;REVISAR;;;
43210658000130;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁ;ELAS11;REVISAR;;;
38542889000101;TREND ETF BLOOMBERG ALL COUNTRIES CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ACWI11;REVISAR;;;
65594464000119;TREND ETF LBMA PRATA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;SLVR11;REVISAR;;;
62319584000110;B-INDEX ETF IMA-B 5 P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BOL511;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62363807000146;B-INDEX ETF IRF-M P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BPRE11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
62390395000133;B-INDEX ETF TEVA LFT CURTO PRAZO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BLFT11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
26845780000164;BB ETF RENDA FIXA PRÉ ÍNDICE FUTURO DE TAXAS DE JUROS S&P/B3  FUNDO DE ÍNDICE RESP LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;FIXA11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
51921067000108;BB ETF ÍNDICE DAP5 B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;BDAP11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
57656453000198;BTG PACTUAL IMA-B 5 P2 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;PACC11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
61433898000186;BTG PACTUAL IMA-B 5+ FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;PACL11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
57656200000114;BTG PACTUAL IMA-B FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;PACG11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
61433644000168;BTG PACTUAL IRF-M P2 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;LTNB11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
59172415000195;BTG PACTUAL MARGEM DEBÊNTURES ULTRA QUALIDADE DI B3 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;MARG11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
66607709000168;BTG PACTUAL PF TEVA ITBR TESOURO IPCA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;PFJR11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
63905124000136;BTG PACTUAL TEVA AUVP ITBR LIQUIDEZ FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;AUPO11;Renda Fixa;confirmado pela B3 (segmento ETF-RF);;
